"","specimen_id","run","lanai_side","ek_day1","ek_day5","ek_day9","ek_delta","treatment","temp","rlc_order","plant_id","species","perc_delta"
"150","ul1-2","2","diamond",106,87.1,52.4,-0.505660377358491,"2",20,1,19,"ul",-50.566
"151","ul1-3","2","diamond",94.9,107.9,84.7,-0.107481559536354,"3",20,1,19,"ul",-10.748
"152","ul1-4","2","diamond",84,116.9,101,0.202380952380952,"4",20,1,19,"ul",20.238
"153","hm2-1","2","diamond",113.2,107.2,66.7,-0.410777385159011,"1",20,2,20,"hm",-41.078
"154","hm2-2","2","diamond",111.6,93.3,98.1,-0.120967741935484,"2",20,2,20,"hm",-12.097
"155","hm2-3","2","diamond",108.6,112.8,93.2,-0.141804788213628,"3",20,2,20,"hm",-14.18
"156","hm2-4","2","diamond",73.3,122.1,107.6,0.46793997271487,"4",20,2,20,"hm",46.794
"157","ul2-1","2","diamond",80.3,74,73,-0.0909090909090909,"1",20,2,20,"ul",-9.091
"158","ul2-2","2","diamond",75.7,69.5,74.4,-0.0171730515191545,"2",20,2,20,"ul",-1.717
"159","ul2-3","2","diamond",92.4,92.5,89,-0.0367965367965369,"3",20,2,20,"ul",-3.68
"160","ul2-4","2","diamond",62.5,91.4,112.8,0.8048,"4",20,2,20,"ul",80.48
"161","hm3-1","2","diamond",97.6,81,78.8,-0.192622950819672,"1",27,3,21,"hm",-19.262
"162","hm3-2","2","diamond",113.5,80.5,82,-0.277533039647577,"2",27,3,21,"hm",-27.753
"163","hm3-3","2","diamond",102.3,76,120.6,0.178885630498534,"3",27,3,21,"hm",17.889
"164","hm3-4","2","diamond",130.5,101.4,110.7,-0.151724137931034,"4",27,3,21,"hm",-15.172
"165","ul3-1","2","diamond",75.8,69.8,40.1,-0.470976253298153,"1",27,3,21,"ul",-47.098
"166","ul3-2","2","diamond",79.1,86.1,72.9,-0.0783817951959544,"2",27,3,21,"ul",-7.838
"167","ul3-3","2","diamond",77.6,77.5,93.6,0.206185567010309,"3",27,3,21,"ul",20.619
"168","ul3-4","2","diamond",69.1,100.7,84.7,0.22575976845152,"4",27,3,21,"ul",22.576
"169","hm4-1","2","diamond",81.2,79.3,65.3,-0.195812807881773,"1",27,4,22,"hm",-19.581
